Rank,Title,Overall,Country,Region,Academic Reputation,Citations per Faculty,Faculty Student Ratio,Employer Reputation,International Student Ratio,International Research Network,International Faculty Ratio,Sustainabilty,FemaleStudentRatio,GDPperCapita,ImageLink
134,"Macquarie University (Sydney, Australia)",54.1,Australia,Oceania,33.4,79.6,9.1,39.2,91.6,90.9,99.9,95,54,86.09321752,https://www.topuniversities.com/sites/default/files/macquarie-university_378_small.jpg
135,University of Science and Technology of China,54.1,China,Asia,50,97.7,94.7,23.7,5.1,75.7,11.6,11.9,54,52.76973633,https://www.topuniversities.com/sites/default/files/university-of-science-and-technology-of-china_122_small.jpg
136,Eindhoven University of Technology,54,Netherlands,Europe,28.7,79.3,35.7,72.1,82.7,70.8,100,29.8,54,83.13355324,https://www.topuniversities.com/sites/default/files/eindhoven-university-of-technology_592560cf2aeae70239af4b3c_small.jpg
137,University of Vienna,53.9,Austria,Europe,70.9,13,23.2,40.4,92,96,100,60.9,66,81.85182904,https://www.topuniversities.com/sites/default/files/university-of-vienna_652_small.jpg
138,Universiti Kebangsaan Malaysia (UKM),53.8,Malaysia,Asia,61.7,14.1,80.4,66.4,78.8,83.7,45.7,64.4,54,51.26186439,https://www.topuniversities.com/sites/default/files/universiti-kebangsaan-malaysia-ukm_384_small.jpg
139,Chalmers University of Technology,53.7,Sweden,Europe,26.3,77.4,50.5,50.4,63.1,77,100,87,32,83.32357004,https://www.topuniversities.com/sites/default/files/chalmers-university-of-technology_592560cf2aeae70239af4af7_small.jpg
140,Universidad de Chile,53.7,Chile,Latin America,82.8,11.2,8,90,4.5,77.1,8.5,64.1,54,56.87417626,https://www.topuniversities.com/sites/default/files/universidad-de-chile_121_small.jpg
141,Lancaster University,53.6,United Kingdom,Europe,38.9,69.6,27.7,36.7,92.3,89.7,93.3,96.2,51,78.90086953,https://www.topuniversities.com/sites/default/files/lancaster-university_335_small.jpg
142,Leiden University,53.6,Netherlands,Europe,68.4,54.5,21.3,32.9,51.7,95.2,85,25.5,60,83.13355324,https://www.topuniversities.com/sites/default/files/leiden-university_340_small.jpg
143,Rice University,53.6,United States,North America,39.1,87.9,62.5,27.3,94.1,62.2,77.5,20.6,42,89.24293274,https://www.topuniversities.com/sites/default/files/rice-university_524_small.jpg
144,Aarhus University,53.3,Denmark,Europe,54.7,63.8,30.8,27.6,11.9,96.1,89.8,76.4,56,87.04624269,https://www.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_small.jpg
145,Nanjing University,53,China,Asia,57.1,93,35.6,32.5,7.6,67.1,61.9,16.5,54,52.76973633,https://www.topuniversities.com/sites/default/files/nanjing-university_430_small.jpg
146,Universiti Sains Malaysia (USM),52.7,Malaysia,Asia,63.3,19.6,46.4,69.7,96.4,87.8,24.3,71.2,54,51.26186439,https://www.topuniversities.com/sites/default/files/universiti-sains-malaysia-usm_386_small.jpg
147,Technische Universität Berlin (TU Berlin),52.5,Germany,Europe,55.3,22.1,58,74.3,74.8,86.1,63.2,35.4,54,80.39040908,https://www.topuniversities.com/sites/default/files/technische-universitt-berlin-tu-berlin_595_small.jpg
148,Universiti Putra Malaysia (UPM),52.3,Malaysia,Asia,61,25.7,58.8,61.9,92,80.5,36.1,53.5,54,51.26186439,https://www.topuniversities.com/sites/default/files/241015052445am567301logo-upm-petak-48x48.jpg
149,King Abdulaziz University (KAU),52.2,Saudi Arabia,Asia,59.8,34.4,41.6,61.4,9.5,93.1,89.3,58.4,54,73.39639355,https://www.topuniversities.com/sites/default/files/king-abdulaziz-university-kau_1172_small.jpg
150,Indian Institute of Technology Delhi (IITD),52.1,India,Asia,54.1,77.4,17.3,80.9,1.5,63.3,3.1,32.7,54,18.52273058,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-delhi-iitd_282_small.jpg
151,University of Bath,52.1,United Kingdom,Europe,35.8,52,18.3,67.9,80,84.2,94.3,90.4,45,78.90086953,https://www.topuniversities.com/sites/default/files/university-of-bath_47_small.jpg
152,Michigan State University,51.9,United States,North America,59.5,50.3,11.4,48.6,12.4,97.5,54.5,96.3,52,89.24293274,https://www.topuniversities.com/sites/default/files/michigan-state-university_402_small.jpg
153,Nagoya University,51.9,Japan,Asia,63.2,25.4,84.7,65.8,19.6,64.8,14.5,75,30,73.04123134,https://www.topuniversities.com/sites/default/files/nagoya-university_427_small.jpg
154,Texas A&M University,51.8,United States,North America,61.2,64.3,4.4,66,12.1,92.6,21.9,39.5,47,89.24293274,https://www.topuniversities.com/sites/default/files/texas-am-university_592560cf2aeae70239af4ce2_small.jpg
155,University of Geneva,51.6,Switzerland,Europe,45.5,62.4,40.4,17.2,97.6,94.2,100,42.3,62,93.52750603,https://www.topuniversities.com/sites/default/files/university-of-geneva_221_small.jpg
156,University of North Carolina at Chapel Hill,51.6,United States,North America,61.4,47.2,72.9,36.5,11.1,91.6,23.5,44.6,60,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-north-carolina-chapel-hill_424_small.jpg
157,Wageningen University & Research,51.6,Netherlands,Europe,42.1,41.3,98.6,23.8,81.2,97.9,59.4,92.3,54,83.13355324,https://www.topuniversities.com/sites/default/files/wageningen-university_659_small.jpg
158,Erasmus University Rotterdam ,51.5,Netherlands,Europe,37,63.3,18.1,58.2,70,85.4,76,28.7,54,83.13355324,https://www.topuniversities.com/sites/default/files/erasmus-university-rotterdam_190_small.jpg
159,University of Groningen,51.3,Netherlands,Europe,52.3,41.2,49.3,34.4,83.5,94.1,93.2,40.1,53,83.13355324,https://www.topuniversities.com/sites/default/files/university-of-groningen_243_small.jpg
160,Université de Montréal ,51.3,Canada,North America,55.5,19.3,76,32.8,54.1,84.9,87.6,91.4,54,83.04588614,https://www.topuniversities.com/sites/default/files/universit-de-montral_417_small.jpg
161,University of Bern,51.2,Switzerland,Europe,29.7,99.3,45.9,16.1,38,93.8,100,52.1,59,93.52750603,https://www.topuniversities.com/sites/default/files/university-of-bern_55_small.jpg
162,Hanyang University,51.1,South Korea,Asia,43,28.5,77.1,78,57.6,63,17.4,85.8,54,71.9896875,https://www.topuniversities.com/sites/default/files/hanyang-university_250_small.jpg
163,Al-Farabi Kazakh National University,51,Kazakhstan,Asia,54.2,1.4,99.3,79.6,54.2,64.7,49,29.8,59,49.9990473,https://www.topuniversities.com/sites/default/files/240206083847am456393logo-1-48x48.jpg
164,Complutense University of Madrid,50.9,Spain,Europe,68.1,7.9,28.7,68.1,34.3,91.8,10.5,88.9,62,70.02244012,https://www.topuniversities.com/sites/default/files/complutense-university-of-madrid_592560cf2aeae70239af4bff_small.jpg
165,Universitat de Barcelona,50.7,Spain,Europe,73.7,38.1,12.4,30.3,26.3,96.8,23.1,92.2,54,70.02244012,https://www.topuniversities.com/sites/default/files/university-of-barcelona_592560cf2aeae70239af4aaf_small.jpg
166,University of Liverpool,50.7,United Kingdom,Europe,46.1,36.6,37.8,39.4,85.4,97.2,88.3,95.6,54,78.90086953,https://www.topuniversities.com/sites/default/files/university-of-liverpool_350_small.jpg
167,Kyushu University,50.3,Japan,Asia,58.3,27.9,78.4,66.5,14.1,69.9,18.7,77.6,28,73.04123134,https://www.topuniversities.com/sites/default/files/kyushu-university_331_small.jpg
168,University of Wollongong,50.3,Australia,Oceania,29.5,94.6,17,24.5,56.3,89,91.8,93.9,55,86.09321752,https://www.topuniversities.com/sites/default/files/university-of-wollongong_680_small.jpg
169,Ghent University,50.1,Belgium,Europe,53.2,21.5,78.5,24.8,21.4,99.5,79.7,98.3,57,80.92198385,https://www.topuniversities.com/sites/default/files/ghent-university_228_small.jpg
170,University of Exeter,50.1,United Kingdom,Europe,42.9,42.5,30.2,45,72.2,95.1,91,97.1,53,78.90086953,https://www.topuniversities.com/sites/default/files/221117102054am246521University-of-Exeter-Simplified-Logo-Portrait-positive-200-x-200-48x48.jpg
171,University of Cape Town,50,South Africa,Africa,45.2,46.8,13.8,51.8,19.2,97.3,56.5,95.6,54,39.20371445,https://www.topuniversities.com/sites/default/files/210830024732pm396697UCTcircular-logo1-CMYK-48x48.jpg
172,Washington University in St. Louis,49.9,United States,North America,36.3,47.7,99.7,12,72.4,83.6,85.4,86.7,54,89.24293274,https://www.topuniversities.com/sites/default/files/washington-university-in-st.-louis_668_small.jpg
173,University of Reading,49.9,United Kingdom,Europe,32.2,65.7,13.1,41.7,78.6,91.7,86.2,94,55,78.90086953,https://www.topuniversities.com/sites/default/files/university-of-reading_517_small.jpg
174,Hokkaido University,49.8,Japan,Asia,59,26,76.2,63.3,12.1,77.7,18.7,78.1,29,73.04123134,https://www.topuniversities.com/sites/default/files/hokkaido-university_266_small.jpg
175,Curtin University,49.3,Australia,Oceania,33.1,84.7,15.7,27.7,24.3,94.2,100,90.7,53,86.09321752,https://www.topuniversities.com/sites/default/files/curtin-university_150_small.jpg
176,Universitat Autònoma de Barcelona,49.2,Spain,Europe,64,59.5,11.5,35.8,16.5,93.1,18.5,86.7,54,70.02244012,https://www.topuniversities.com/sites/default/files/240404114804am190222logo-uab-qs-48x48.jpg
177,McMaster University,49,Canada,North America,39.5,35.6,63.8,34.2,56.7,82.6,96.2,91.9,56,83.04588614,https://www.topuniversities.com/sites/default/files/mcmaster-university_397_small.jpg
178,"University of California, Santa Barbara (UCSB)",48.9,United States,North America,52.6,97.8,7.7,21.3,17.2,71.2,75.4,28.4,54,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-california-santa-barbara-ucsb_91_small.jpg
179,"The University of Newcastle, Australia (UON)",48.7,Australia,Oceania,28.3,91.7,28.7,24.5,24.2,82,99.9,92.4,54,86.09321752,https://www.topuniversities.com/sites/default/files/the-university-of-newcastle-australia-uon_449_small.jpg
180,Universidad de los Andes,48.7,Colombia,Latin America,67.7,5.9,14.2,88.4,1.9,55.2,22.8,80,54,39.64359706,https://www.topuniversities.com/sites/default/files/universidad-de-los-andes_592560cf2aeae70239af4bf6_small.jpg
181,Universiti Teknologi Malaysia ,48.5,Malaysia,Asia,48.6,40.5,46,59.6,86.9,82.9,14.1,52.1,54,51.26186439,https://www.topuniversities.com/sites/default/files/universiti-teknologi-malaysia_387_small.jpg
182,Waseda University,48.5,Japan,Asia,60.7,3.8,23.5,96.1,28,66.4,27.9,56.1,39,73.04123134,https://www.topuniversities.com/sites/default/files/waseda-university_592560cf2aeae70239af4d1c_small.jpg
183,Hamad bin Khalifa University,48.3,Qatar,Asia,12.9,100,99.9,4.7,100,74.3,100,2.6,54,91.20628292,https://www.topuniversities.com/sites/default/files/230216033433pm754356HBKU-Logo-48x48.jpg
184,University of York,48.2,United Kingdom,Europe,42.9,40.1,43,30.1,75.6,92.5,87.8,97.4,56,78.90086953,https://www.topuniversities.com/sites/default/files/university-of-york_689_small.jpg
185,Tecnológico de Monterrey,48.1,Mexico,Latin America,53.8,2.4,62.5,91.4,10.6,56.6,20.8,54.4,43,49.96921193,https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-y-de-estudios-superiores-de-monterrey_592560cf2aeae70239af4cd6_small.jpg
186,Cardiff University,47.6,United Kingdom,Europe,46.8,30,36.1,43.2,67.7,92.3,82.8,96,58,78.90086953,https://www.topuniversities.com/sites/default/files/cardiff-university_592560cf2aeae70239af4ae6_small.jpg
187,École Normale Supérieure de Lyon,47.5,France,Europe,29.8,93.5,97,16.3,11.7,70.3,59,6.6,43,77.46249131,https://www.topuniversities.com/sites/default/files/cole-normale-suprieure-de-lyon_175_small.jpg
188,Keio University,47.4,Japan,Asia,53,5.1,57.2,91.6,10.2,57.5,9.4,59,36,73.04123134,https://www.topuniversities.com/sites/default/files/keio-university_592560cf2aeae70239af4bbe_small.jpg
189,University of Ottawa,47.3,Canada,North America,26.2,81.3,3.5,23.3,77.8,93,91.7,92.9,59,83.04588614,https://www.topuniversities.com/sites/default/files/university-of-ottawa_475_small.jpg
190,Technische Universität Wien,47.2,Austria,Europe,33.9,73.8,12.5,50.4,90.4,71.6,85.5,11.3,54,81.85182904,https://www.topuniversities.com/sites/default/files/vienna-university-of-technology_653_small.jpg
191,Universität Hamburg,47.1,Germany,Europe,50.7,54.7,16.5,35.7,20.4,93.4,40.2,90.6,54,80.39040908,https://www.topuniversities.com/sites/default/files/universitt-hamburg_592560cf2aeae70239af4b79_small.jpg
192,Tongji University,46.9,China,Asia,31.8,96.9,29.1,16.9,26.5,72.9,54.5,81.4,41,52.76973633,https://www.topuniversities.com/sites/default/files/tongji-university_617_small.jpg
193,Queen's University at Kingston,46.8,Canada,North America,40.8,42.6,5.4,56.7,26.6,71.2,69.2,93.8,54,83.04588614,https://www.topuniversities.com/sites/default/files/queens-university-at-kingston_513_small.jpg
194,University of Gothenburg,46.7,Sweden,Europe,35.4,33.6,60.9,18.3,78.2,94.2,90,92.8,54,83.32357004,https://www.topuniversities.com/sites/default/files/university-of-gothenburg_233_small.jpg
195,Wuhan University,46.7,China,Asia,39.2,91.9,14,40.5,4.9,78.2,39.2,22.2,54,52.76973633,https://www.topuniversities.com/sites/default/files/wuhan-university_889_small.jpg
196,Emory University,46.6,United States,North America,25.2,78.4,93.8,19,33.9,85.6,52.2,37,61,89.24293274,https://www.topuniversities.com/sites/default/files/emory-university_185_small.jpg
197,Deakin University,46.4,Australia,Oceania,31.3,73.6,4.6,23.9,63.8,82.7,96.4,93.7,60,86.09321752,https://www.topuniversities.com/sites/default/files/download-48x48.png
198,Universidad Autónoma de Madrid,46.3,Spain,Europe,61,21,29.1,64.3,10.4,92,7.7,79.6,54,70.02244012,https://www.topuniversities.com/sites/default/files/230914073612am166112marcaUAM-centroColor-expandHQg-48x48.jpg
199,University of Calgary,46.3,Canada,North America,37.9,40.3,18.1,44.5,66.2,85.2,77.7,93.3,54,83.04588614,https://www.topuniversities.com/sites/default/files/university-of-calgary_592560cf2aeae70239af4ad5_small.jpg
200,Arizona State University,46.2,United States,North America,48.6,47.1,7.4,44.1,37.2,95.7,52.1,96.3,54,89.24293274,https://www.topuniversities.com/sites/default/files/arizona-state-university_592560cf2aeae70239af4a9c_small.jpg
201,King Saud University,46.2,Saudi Arabia,Asia,39.4,40,54.3,28.7,15,95.1,99.4,33,43,73.39639355,https://www.topuniversities.com/sites/default/files/king-saud-university_1175_small.jpg
202,Khalifa University,46.1,United Arab Emirates,Asia,22.7,60.7,80,21,78.9,78.8,100,61.6,58,80.86161721,https://www.topuniversities.com/sites/default/files/khalifa-university-of-science-and-technology_592560e19988f300e2320ee2_small.jpg
203,University of Minnesota Twin Cities,46,United States,North America,56.8,41.9,32.4,33.1,8.7,91.7,7.7,96.5,54,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-minnesota_408_small.jpg
204,Université catholique de Louvain (UCLouvain),46,Belgium,Europe,48.4,55,4.6,25.9,47.6,89.9,91,27.1,54,80.92198385,https://www.topuniversities.com/sites/default/files/universit-catholique-de-louvain-uclouvain_592560cf2aeae70239af4aed_small.jpg
205,Ecole des Ponts ParisTech,45.8,France,Europe,8.9,62.6,99,58.5,96.5,37.3,43.5,10.8,54,77.46249131,https://www.topuniversities.com/sites/default/files/ecole-des-ponts-paristech_187_small.jpg
206,Queen's University Belfast,45.7,United Kingdom,Europe,35.4,40.6,28.6,33.6,98.2,92.8,100,88.9,54,78.90086953,https://www.topuniversities.com/sites/default/files/queens-university-belfast_592560cf2aeae70239af4c86_small.jpg
207,Universitas Indonesia,45.7,Indonesia,Asia,53.8,2.1,55.7,79.2,7.1,37.2,88.3,32.7,54,32.66336292,https://www.topuniversities.com/sites/default/files/universitas-indonesia_290_small.jpg
208,The Ohio State University,45.6,United States,North America,58.6,31.2,39.5,50.4,10.6,94.6,13.4,50.8,54,89.24293274,https://www.topuniversities.com/sites/default/files/the-ohio-state-university_465_small.jpg
209,Tel Aviv University,45.2,Israel,Asia,32,99.4,4.2,18.6,7,77.9,39.7,46.2,57,83.85825362,https://www.topuniversities.com/sites/default/files/tel-aviv-university_592560cf2aeae70239af4cde_small.jpg
210,National Tsing Hua University - NTHU,45.1,Taiwan,Asia,54.8,49.6,28,71.2,11.1,45,9.5,32.1,54,NA,https://www.topuniversities.com/sites/default/files/national-tsing-hua-university_442_small.jpg
211,Indian Institute of Science,45,India,Asia,45.7,99.9,37.9,26.3,1.5,39.1,3.7,23.7,27,18.52273058,https://www.topuniversities.com/sites/default/files/indian-institute-of-science-iisc-bangalore_22878_small.jpg
212,Albert-Ludwigs-Universitaet Freiburg,44.8,Germany,Europe,43.1,52.2,24.6,24.5,33.7,92.3,67.6,90,54,80.39040908,https://www.topuniversities.com/sites/default/files/240117022940pm384573UFR-Kurzform-200x200-Zeichenfl%C3%A4che-1-Zeichenfl%C3%A4che-1-48x48.jpg
213,Queensland University of Technology (QUT),44.7,Australia,Oceania,39.8,59.9,8.1,33.1,20.7,83.4,97.9,89.4,54,86.09321752,https://www.topuniversities.com/sites/default/files/queensland-university-of-technology-qut_592560cf2aeae70239af4c88_small.jpg
214,University of Otago,44.4,New Zealand,Oceania,45,38.8,12.8,24.6,37.6,79.5,100,96,61,80.28335843,https://www.topuniversities.com/sites/default/files/240508092847pm590994Image-09-05-2024-at-9.28%E2%80%AFAM-48x48.jpeg
215,National Cheng Kung University (NCKU),44.2,Taiwan,Asia,51.5,20.3,33.4,74,13.9,58.7,16.3,83.8,37,NA,https://www.topuniversities.com/sites/default/files/230407032250am673777NCKU-Alt-GraphicSignature-NL-RGB-AW-48x48.jpg
